column,topic_num,frex_words,n_docs,pct_docs,mean_polarity,sd_polarity,n_with_sent
real_world_describe,1,"armenian, iran, genocid, turkey, sudan, past",141,0.14213709677419356,-1.6666666666666667,1.6354214058166092,8
real_world_describe,2,"gaza, ukrain, current, strip, israel, protest",252,0.2540322580645161,-2.191666666666667,0.5304811555656397,40
real_world_describe,3,"africa, palestin, holocaust, war, conflict, happen",314,0.3165322580645161,-1.9745762711864407,0.3387221942864335,118
real_world_describe,4,"race, east, african, nation, cuba, middl",184,0.18548387096774194,-2.4827586206896552,0.5846390192410328,58
real_world_describe,5,"ice, rape, death, campaign, live, girl",101,0.10181451612903226,-1.6458333333333333,1.7012806329239674,48
genocide_open,1,"death, entir, caus, starvat, right, suffer",343,0.14583333333333334,-2.1393781256794955,0.7822311561592475,219
genocide_open,2,"mass, scale, specif, popul, execut, target",480,0.20408163265306123,-2.5346153846153845,0.8273779877144029,260
genocide_open,3,"violenc, wipe, live, extrem, mean, life",352,0.14965986394557823,-2.3291472868217054,1.062961119295325,215
genocide_open,4,"innoc, food, die, children, bomb, power",821,0.34906462585034015,-2.6158384301732927,0.904240251117971,654
genocide_open,5,"religion, religi, base, racial, gender, ident",356,0.15136054421768708,-2.5513621794871795,0.9035369239063867,208
