dv,model,condition,estimate,std.error,statistic,p.value,conf.low,conf.high
"Genocide fit
(1–7 scale)",No controls,Sexual violence — hundreds,0.4082928946226392,0.08831714886877076,4.623030746036831,3.974682760865757e-6,0.23511034953836893,0.5814754397069094
"Genocide fit
(1–7 scale)",No controls,Sexual violence — tens of thousands,0.5943095470232369,0.08867867067905844,6.701831934018648,2.53621107660415e-11,0.4204180878944007,0.7682010061520731
"Genocide fit
(1–7 scale)",No controls,Infrastructure — hundreds,0.970318896789495,0.09048429127395732,10.723617139815811,2.9216251312381537e-26,0.7928867666348561,1.147751026944134
"Genocide fit
(1–7 scale)",No controls,Infrastructure — tens of thousands,0.8026590918057404,0.09125551736733581,8.795732192002736,2.598653955754985e-18,0.6237146517611485,0.9816035318503322
"Genocide fit
(1–7 scale)",With controls,Killing — hundreds,0.4869278356608864,0.09542271528769455,5.102850345358798,3.599840629982049e-7,0.29981120735585753,0.6740444639659152
"Genocide fit
(1–7 scale)",With controls,Killing — tens of thousands,0.24825606513040155,0.09025960704840552,2.750466939184255,0.005994352321575174,0.07126389621008972,0.4252482340507134
"Genocide fit
(1–7 scale)",With controls,Sexual violence — hundreds,0.40391705587332516,0.08753370086102862,4.614417668854161,4.143129342954625e-6,0.23227017998224617,0.5755639317644041
"Genocide fit
(1–7 scale)",With controls,Sexual violence — tens of thousands,0.6120065012137453,0.08884846671512098,6.888205546372011,7.139915018029648e-12,0.43778147029022335,0.7862315321372673
"Genocide fit
(1–7 scale)",With controls,Infrastructure — hundreds,0.9761018673910994,0.08943721501834505,10.913822251630764,4.065991354301739e-27,0.8007223461862282,1.1514813885959705
"Genocide fit
(1–7 scale)",With controls,Infrastructure — tens of thousands,0.8029870325950187,0.09094203104821305,8.829658006750629,1.946005039083691e-18,0.6246566825347819,0.9813173826552555
"Support for
international action",No controls,Killing — hundreds,0.043030529861520055,0.018205022617588728,2.363662532335787,0.01818431263804232,0.007329120647518776,0.07873193907552134
"Support for
international action",No controls,Killing — tens of thousands,0.024419531374529548,0.019610158233021154,1.2452490736872275,0.21317673298193884,-0.014037453740775661,0.06287651648983475
"Support for
international action",No controls,Sexual violence — hundreds,-0.011232309671644071,0.022237286639296226,-0.5051115207462,0.6135325959511448,-0.054841289830313646,0.032376670487025506
"Support for
international action",No controls,Sexual violence — tens of thousands,-0.009025014987191798,0.021951755125525236,-0.41112954001102264,0.68101877402749,-0.05207404651900372,0.034024016544620124
