cond,n,mean_genocide,se_genocide,mean_fit,mean_action
No tactic (control),357,0.32492997198879553,0.024822430351870706,1.9719887955182074,0.9254237288135593
Killing — hundreds,353,0.5014164305949008,0.02664998260938637,2.4475920679886687,0.9684542586750788
Killing — tens of thousands,353,0.44192634560906513,0.026469721696003343,2.2322946175637393,0.9498432601880877
Sexual violence — hundreds,355,0.49859154929577465,0.02657459473818761,2.380281690140845,0.9141914191419142
Sexual violence — tens of thousands,362,0.5414364640883977,0.0262252663818191,2.5662983425414363,0.9163987138263665
Infrastructure — hundreds,364,0.7032967032967034,0.023976023976023976,2.9423076923076925,0.9424920127795527
Infrastructure — tens of thousands,355,0.6197183098591549,0.025801695203607287,2.7746478873239435,0.9545454545454546
